CustomerID,FullName,Gender,Age,Region
C001,Judy Leblanc,Male,40,South South
C002,Barbara King,Male,48,South East
C003,Misty Williams,Female,41,South East
C004,Justin Davidson,Female,51,South West
C005,Billy Taylor DDS,Male,26,South West
C006,Allen Campbell,Male,56,South South
C007,Lisa Sutton,Female,43,North West
C008,Terry Castillo,Male,28,South South
C009,Jacqueline Guerrero,Female,55,South South
C010,Jared Jacobson,Male,47,South East
C011,Clifford Harris,Female,20,South West
C012,Richard Anderson,Female,27,South West
C013,Megan Murphy,Male,22,South West
C014,Matthew Cooper,Male,57,South East
C015,Matthew Melton,Female,60,South East
C016,Michelle Marshall,Female,48,North Central
C017,Kaitlyn Farrell,Female,28,North East
C018,Alyssa Martinez,Female,60,South South
C019,John Lee,Male,51,North West
C020,Jessica Payne DVM,Male,47,South West
C021,Latoya Murphy,Female,51,North Central
C022,Megan Jones,Female,31,South East
C023,Karen Gibson,Female,55,North West
C024,Carol Hill,Male,20,North Central
C025,Charles Allison,Male,42,South East
C026,Jason Johnson,Female,51,South South
C027,Jason Allen,Male,55,South East
C028,Denise Rodriguez,Male,23,North West
C029,Donna Vega,Male,29,South West
C030,Todd Martin,Male,60,North West
C031,Albert Perez,Male,53,North East
C032,Jamie Simmons,Female,49,North Central
C033,Tamara Rodriguez,Male,28,North West
C034,John Mcconnell,Male,19,South East
C035,Ana Walters,Male,32,South East
C036,Bradley Sanchez,Male,35,North West
C037,Jennifer Parker,Male,28,North Central
C038,Scott Cruz,Male,24,North West
C039,James Ryan,Female,54,North Central
C040,Anita Wright,Female,41,South East
C041,Seth Brady,Female,57,South West
C042,Susan Martin,Male,47,North Central
C043,Robert Sims,Female,26,North Central
C044,Gary Wilson,Male,42,South West
C045,Kenneth Ward,Female,46,North West
C046,Travis Thompson,Male,44,South West
C047,Christopher Steele,Male,46,North West
C048,Joshua Thomas,Male,60,South West
C049,Donna Randall,Male,51,North Central
C050,Cristian Smith,Male,21,South West
C051,Jamie Morales,Male,59,North Central
C052,Heather Tate,Male,43,South East
C053,Kristen Smith,Male,40,South East
C054,Madison Ortiz,Male,18,South East
C055,William Welch,Male,38,South West
C056,Edward Montgomery,Female,39,North Central
C057,Kenneth Leblanc,Male,52,South East
C058,Monica Reynolds,Male,36,North Central
C059,Alexandra Kennedy,Male,34,South West
C060,Russell Ashley,Male,44,North Central
C061,Jerry Torres,Male,34,North East
C062,Andrew Turner,Female,19,North West
C063,Cody Hodge,Male,31,North Central
C064,Yolanda Neal,Female,49,South East
C065,Briana Ward,Female,47,South East
C066,Evan Guzman,Female,28,South South
C067,Rachael Thompson,Female,47,North East
C068,Kent Boyd,Female,39,North East
C069,Thomas Hill,Male,20,South East
C070,Megan Sullivan,Male,37,North East
C071,Matthew Saunders,Male,27,North West
C072,Samuel Mathis,Male,18,South West
C073,Adam Livingston,Male,38,North Central
C074,Andrea Lawson,Male,31,South East
C075,Theresa Boyd,Female,31,South West
C076,Stefanie Owens,Female,26,North Central
C077,Kaitlyn Robinson,Male,56,North East
C078,Matthew Martin,Female,49,North Central
C079,Jeremiah Mcgrath,Male,28,North West
C080,Jake Adams,Male,37,South West
C081,Jake Reed,Male,43,South East
C082,Linda Jackson,Male,18,North West
C083,Cory Lara,Male,45,North East
C084,David Drake,Male,29,South East
C085,Anthony Watson,Female,50,North East
C086,Sylvia Price,Female,39,South West
C087,Glenda Roberts,Male,54,North West
C088,Angela Santos,Female,50,South South
C089,Michelle Gordon,Female,35,North Central
C090,Eric Brown,Male,39,South East
C091,Sara Davis,Female,47,North West
C092,Kimberly Williams,Male,25,South East
C093,Brent Butler,Male,54,South West
C094,Kelly Ramos,Female,48,North West
C095,Patrick Aguilar,Male,48,North Central
C096,Charles Rogers,Male,37,North Central
C097,Patrick Smith,Female,42,North Central
C098,Patricia Campbell,Male,48,North West
C099,Deborah Smith,Male,20,South West
C100,Patrick Perez,Male,53,South East
